OBJECTID,TreeID,DataProvider,District,Street,AreaGroup,TreeType,PlantingYear,PlantingYear_txt,TrunkSize,TrunkSize_txt,TreeHeight,TreeHeight_txt,TreeCrownDiameter,TreeCrownDiameter_txt,TreeNumber
394118692,200660,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",51,51 cm,2,6-10 m,2,4-6 m,"3027"
394119160,2128,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Tilia platyphyllos (Sommerlinde),1967,"1967",135,135 cm,3,11-15 m,3,7-9 m,"3021"
394118704,171298,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2009,"2009",44,44 cm,2,6-10 m,2,4-6 m,"3024"
394118705,200442,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",32,32 cm,2,6-10 m,2,4-6 m,"3023"
394118706,345387,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Jungbaum wird gepflanzt,0,nicht definiert,0,nicht bekannt,0,nicht bekannt,0,nicht bekannt,"3015"
394119176,233887,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",39,39 cm,2,6-10 m,2,4-6 m,"3007"
394119189,2117,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Tilia x vulgaris (Holländische Linde),1971,"1971",119,119 cm,3,11-15 m,3,7-9 m,"3010"
394118241,124713,magistrat,1,Wipplingerstraße,"MA 28 - Straße, Grünanlage",Celtis occidentalis (Westlicher Zürgelbaum),1996,"1996",94,94 cm,2,6-10 m,3,7-9 m,"2009"
394118242,124715,magistrat,1,Wipplingerstraße,"MA 28 - Straße, Grünanlage",Celtis occidentalis (Westlicher Zürgelbaum),1994,"1994",91,91 cm,2,6-10 m,3,7-9 m,"2011"
394118243,124711,magistrat,1,Wipplingerstraße,"MA 28 - Straße, Grünanlage",Celtis occidentalis (Westlicher Zürgelbaum),1997,"1997",87,87 cm,2,6-10 m,3,7-9 m,"2007"
394118245,4522,magistrat,1,Helferstorferstraße,"MA 28 - Straße, Grünanlage",Carpinus betulus (Hainbuche),1991,"1991",68,68 cm,2,6-10 m,3,7-9 m,"1003"
394118248,4521,magistrat,1,Helferstorferstraße,"MA 28 - Straße, Grünanlage",Carpinus betulus 'Fastigiata' (Säulenhainbuche),2001,"2001",129,129 cm,2,6-10 m,2,4-6 m,"1002"
394119222,223974,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Gymnocladus dioicus (Geweihbaum),0,nicht definiert,183,183 cm,3,11-15 m,5,13-15 m,"28"
394119230,2217,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Tilia cordata (Winterlinde),1981,"1981",106,106 cm,3,11-15 m,2,4-6 m,"5033"
394119233,223973,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Betula pendula (Weißbirke),0,nicht definiert,67,67 cm,2,6-10 m,2,4-6 m,"27"
394119234,223972,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Betula pendula (Weißbirke),0,nicht definiert,85,85 cm,3,11-15 m,2,4-6 m,"26"
394119235,223968,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Pinus nigra nigra (Österreichische Schwarzkiefer),0,nicht definiert,122,122 cm,2,6-10 m,2,4-6 m,"22"
394119236,223967,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Pinus nigra nigra (Österreichische Schwarzkiefer),0,nicht definiert,130,130 cm,3,11-15 m,2,4-6 m,"21"
394118765,351353,magistrat,1,Lothringerstraße,"MA 28 - Straße, Grünanlage",Jungbaum wird gepflanzt,0,nicht definiert,0,nicht bekannt,0,nicht bekannt,0,nicht bekannt,"2016"
394118771,200659,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",55,55 cm,2,6-10 m,2,4-6 m,"3005"
394119240,223963,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Pinus nigra nigra (Österreichische Schwarzkiefer),0,nicht definiert,77,77 cm,3,11-15 m,1,0-3 m,"17"
394119241,223961,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Sophora japonica (Schnurbaum),0,nicht definiert,311,311 cm,4,16-20 m,7,19-21 m,"15"
394119245,171869,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Tilia cordata 'Rancho' (Kleinblättrige Winterlinde),2009,"2009",33,33 cm,2,6-10 m,1,0-3 m,"5022"
394119246,328011,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2018,"2018",21,21 cm,2,6-10 m,1,0-3 m,"5021"
394119249,223958,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Pinus nigra nigra (Österreichische Schwarzkiefer),0,nicht definiert,90,90 cm,3,11-15 m,2,4-6 m,"12"
394119254,223954,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Pinus nigra nigra (Österreichische Schwarzkiefer),0,nicht definiert,109,109 cm,3,11-15 m,2,4-6 m,"8"
394118799,200658,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",50,50 cm,2,6-10 m,2,4-6 m,"2005"
394118811,192362,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2012,"2012",35,35 cm,2,6-10 m,2,4-6 m,"2003"
394119294,179955,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2009,"2009",67,67 cm,2,6-10 m,2,4-6 m,"5010"
